brand,brand_id,year,month,year_month,month_index,post_count,retweet_count_sum,retweet_count_mean,retweet_count_median,reply_count_sum,reply_count_mean,reply_count_median,like_count_sum,like_count_mean,like_count_median,quote_count_sum,quote_count_mean,quote_count_median,engagement_total_sum,engagement_total_mean,engagement_total_median,hashtag_count_sum,hashtag_count_mean,mention_count_sum,mention_count_mean,Entertainment_sum,Trendiness_sum,Interaction_sum,Customization_sum,entropy_ce_score_sum,entropy_ce_score_mean,entropy_ce_score_median,critic_ce_score_sum,critic_ce_score_mean,critic_ce_score_median,cilos_score_mean,idocriw_score_mean,merec_score_mean,additive_engagement_score_mean
Armani,1,2021,12,2021-12,26,41,2251,54.90243902439025,22.0,129,3.1463414634146343,2.0,9420,229.7560975609756,99.0,90,2.1951219512195124,0.0,11890,290.0,142.0,39,0.9512195121951219,51,1.2439024390243902,2,6,131,51,793.83948,19.361938536585367,17.42674,871.38054,21.253183902439023,21.08468,24.85839219512195,22.774625853658538,23.467493902439024,290.0
Armani,1,2022,1,2022-01,27,7,223,31.857142857142858,30.0,36,5.142857142857143,6.0,1025,146.42857142857142,128.0,22,3.142857142857143,3.0,1306,186.57142857142858,167.0,9,1.2857142857142858,0,0.0,0,1,16,0,202.97292,28.996131428571427,30.11369,204.22051,29.17435857142857,29.83939,31.95975142857143,29.803744285714288,30.127902857142857,186.57142857142858
Armani,1,2022,2,2022-02,28,78,1696,21.743589743589745,12.0,223,2.858974358974359,2.0,11549,148.06410256410257,84.5,187,2.3974358974358974,1.0,13655,175.06410256410257,106.0,120,1.5384615384615385,90,1.1538461538461537,31,15,288,90,1821.14708,23.348039487179488,27.77157,1914.60603,24.546231153846154,27.49217,29.19259884615385,25.639903076923076,26.20289564102564,175.06410256410257
Armani,1,2022,3,2022-03,29,29,1056,36.41379310344828,27.0,366,12.620689655172415,6.0,6059,208.93103448275863,142.0,100,3.4482758620689653,1.0,7581,261.41379310344826,170.0,47,1.6206896551724137,56,1.9310344827586208,0,7,132,56,768.25687,26.491616206896552,29.36005,792.37339,27.323220344827586,29.23425,31.31852172413793,28.258620344827587,28.727787586206894,261.41379310344826
Armani,1,2022,4,2022-04,30,17,633,37.23529411764706,28.0,137,8.058823529411764,6.0,3878,228.11764705882354,165.0,47,2.764705882352941,1.0,4695,276.1764705882353,197.0,17,1.0,4,0.23529411764705882,4,3,38,4,466.61105,27.44770882352941,29.45014,480.21156,28.247738823529414,29.34558,31.754017058823532,29.176247647058826,29.60287411764706,276.1764705882353
Armani,1,2022,5,2022-05,31,58,1520,26.20689655172414,16.5,290,5.0,3.0,10499,181.01724137931035,99.0,193,3.3275862068965516,1.0,12502,215.55172413793105,121.5,61,1.0517241379310345,18,0.3103448275862069,35,14,137,18,1519.29049,26.194663620689656,28.538995,1564.44614,26.973209310344828,28.253970000000002,30.601773620689652,27.862565689655174,28.285644137931033,215.55172413793105
Armani,1,2022,6,2022-06,32,55,1298,23.6,16.0,254,4.618181818181818,3.0,8515,154.8181818181818,89.0,136,2.4727272727272727,1.0,10203,185.5090909090909,110.0,47,0.8545454545454545,49,0.8909090909090909,3,27,151,49,1321.26676,24.023032,27.91225,1385.59606,25.19265563636364,27.3838,28.88006872727273,26.277993272727272,26.76708272727273,185.5090909090909
Armani,1,2022,7,2022-07,33,20,688,34.4,29.0,130,6.5,3.5,2043,102.15,94.5,20,1.0,1.0,2881,144.05,128.5,20,1.0,8,0.4,0,13,48,8,497.61735,24.8808675,28.220950000000002,519.98663,25.9993315,28.449175,28.920398999999996,27.1195,27.605293999999997,144.05
Armani,1,2022,8,2022-08,34,11,304,27.636363636363637,23.0,75,6.818181818181818,6.0,1528,138.9090909090909,131.0,12,1.0909090909090908,1.0,1919,174.45454545454547,165.0,7,0.6363636363636364,2,0.18181818181818182,2,1,20,2,281.45856,25.587141818181816,27.2296,293.8475,26.713409090909092,27.2813,30.378184545454545,27.79667909090909,28.27701818181818,174.45454545454547
Burberry,2,2017,1,2017-01,0,19,863,45.421052631578945,40.0,22,1.1578947368421053,1.0,3430,180.52631578947367,171.0,48,2.526315789473684,2.0,4363,229.6315789473684,205.0,19,1.0,14,0.7368421052631579,1,1,52,14,435.30687,22.91088789473684,22.2997,472.2456,24.85503157894737,24.79696,31.352132631578947,26.40068947368421,27.23703052631579,229.6315789473684
Burberry,2,2017,2,2017-02,0,120,13497,112.475,46.0,683,5.691666666666666,2.0,29682,247.35,159.0,1176,9.8,3.0,45038,375.31666666666666,211.5,228,1.9,124,1.0333333333333334,2,9,472,124,3161.73065,26.347755416666665,29.07028,3302.12961,27.51774675,29.50478,32.541980583333334,28.710551916666667,29.37533325,375.31666666666666
Burberry,2,2017,3,2017-03,0,99,7457,75.32323232323232,31.0,225,2.272727272727273,1.0,15319,154.73737373737373,118.0,330,3.3333333333333335,1.0,23331,235.66666666666666,150.0,33,0.3333333333333333,98,0.98989898989899,1,7,230,98,2210.13214,22.324567070707072,20.23562,2406.4742,24.307820202020203,22.45508,30.457085555555558,25.86461383838384,26.6794203030303,235.66666666666666
Burberry,2,2017,4,2017-04,0,72,4221,58.625,31.5,156,2.1666666666666665,1.0,12583,174.76388888888889,125.5,221,3.0694444444444446,1.0,17181,238.625,165.5,30,0.4166666666666667,87,1.2083333333333333,1,5,189,87,1697.26523,23.573128194444443,27.683855,1821.48683,25.298428194444444,27.964570000000002,30.97383375,26.727807499999997,27.47374736111111,238.625
Burberry,2,2017,5,2017-05,0,139,11717,84.29496402877697,35.0,371,2.6690647482014387,1.0,36639,263.58992805755395,137.0,758,5.453237410071942,1.0,49485,356.0071942446043,172.0,120,0.8633093525179856,156,1.1223021582733812,1,19,415,156,3303.68117,23.767490431654675,27.5785,3548.10814,25.52595784172662,28.03248,31.51334942446043,26.983872805755396,27.76400618705036,356.0071942446043
Burberry,2,2017,6,2017-06,0,92,3640,39.56521739130435,32.0,111,1.2065217391304348,1.0,14480,157.3913043478261,129.5,274,2.9782608695652173,1.0,18505,201.1413043478261,161.5,68,0.7391304347826086,102,1.108695652173913,5,7,262,102,2020.65917,21.963686630434783,20.800420000000003,2207.32194,23.992629782608695,22.79299,30.543921847826088,25.567402826086955,26.41394195652174,201.1413043478261
Burberry,2,2017,7,2017-07,0,90,6252,69.46666666666667,33.0,386,4.288888888888889,1.0,17402,193.35555555555555,134.5,777,8.633333333333333,2.0,24817,275.74444444444447,172.0,62,0.6888888888888889,88,0.9777777777777777,3,6,240,88,2288.52762,25.428084666666663,28.3759,2399.98394,26.666488222222224,28.706515,31.677845888888893,27.851171666666666,28.487099,275.74444444444447
